 DRACARYS_GLOSS:0 "Alto Valyriano per "fuoco di drago" - usato dai signori dei draghi per comandare le fiamme ai propri draghi."
d_nf_takapis: "$dynn_Takapis$ Famiglia"
building_wolf_den:0 "Lupi Selvaggi"
building_wolf_den_desc:0 "Branconi di lupi selvaggi vagano per queste terre, tendendo agguati e predando chiunque sia abbastanza coraggioso o abbastanza stolto da addentrarsi nel loro territorio."
building_type_wolf_den:0 "Lupi"
building_wolf_den_cleared:0 "Lupi Sottomessi"
building_wolf_den_cleared_desc:0 "I lupi che un tempo terrorizzavano queste terre sono stati sottomessi e scacciati, rendendo più sicura l’area per i nuovi insediamenti che vi stanno sorgendo.\n\n#V Eliminare [colonization_blockers|E] permette al tuo insediamento di migliorare.#!"
building_bear_den:0 "Tane d’Orso"
building_bear_den_desc:0 "Grandi orsi reclamano questa terra come dimora, difendendo ferocemente il proprio territorio e i propri terreni di caccia da ogni intruso."
building_type_bear_den:0 "Orsi"
building_bear_den_cleared:0 "Orsi Sottomessi"
building_bear_den_cleared_desc:0 "La popolazione di orsi selvatici che un tempo percorreva queste terre è stata cacciata o scacciata; ne restano solo pochi negli angoli più remoti della provincia.\n\n#V Eliminare [colonization_blockers|E] permette al tuo insediamento di migliorare.#!"
building_flooded_lands:0 "Inondazioni Devastanti"
building_flooded_lands_desc:0 "Questa terra è soggetta a inondazioni, che portano distruzione a qualunque cosa si trovi sul loro cammino, naturale o costruita che sia."
building_type_flooded_lands:0 "Inondazione"
building_flooded_lands_cleared:0 "Inondazioni Scongiurate"
building_flooded_lands_cleared_desc:0 "Che sia grazie alla costruzione di argini, di aree di sfogo nelle zone più basse, o di sistemi di drenaggio dedicati, gli effetti delle inondazioni su queste terre sono stati notevolmente ridotti.\n\n#V Eliminare [colonization_blockers|E] permette al tuo insediamento di migliorare.#!"
building_bandits:0 "Terra di Briganti"
building_bandits_desc:0 "Briganti senza scrupoli vagano per queste terre, vessando viandanti innocenti e aspiranti coloni."
building_type_bandits:0 "Briganti"
building_bandits_cleared:0 "Ordine Ripristinato"
building_bandits_cleared_desc:0 "La maggior parte dei briganti locali è stata consegnata alla giustizia o è fuggita, rendendo più sicura l’area per i nuovi insediamenti che vi stanno sorgendo.\n\n#V Eliminare [colonization_blockers|E] permette al tuo insediamento di migliorare.#!"
building_dense_growth:0 "Sottobosco Fitto"
building_dense_growth_desc:0 "Una barriera impenetrabile di vegetazione copre ampie porzioni di quest’area, rendendo difficile e pericoloso attraversarla."
building_dense_growth_cleared:0 "Radure nel Intrico"
building_dense_growth_cleared_desc:0 "Il folto intrico è stato diradato, e diverse radure ci permettono di viaggiare tra i nostri siti d’insediamento con relativa sicurezza.\n\n#V Eliminare [colonization_blockers|E] permette al tuo insediamento di migliorare.#!"
building_pirate_remnants:0 "Rimasugli di Pirati"
building_pirate_remnants_desc:0 "Sebbene la principale roccaforte dei pirati sia stata smantellata, alcuni rimasugli della vecchia ciurma indugiano ancora nella zona. Sbandati e piccoli razziatori predano gli incauti, minacciando commercio e sforzi di colonizzazione."
building_type_pirate_remnants:0 "Pirati"
building_pirate_remnants_cleared:0 "Pirati Scacciati"
building_pirate_remnants_cleared_desc:0 "Gli ultimi sbandati pirati sono stati braccati o cacciati via. Con acque e strade ormai sicure, coloni e mercanti possono finalmente tirare un sospiro di sollievo.\n\n#V Eliminare [colonization_blockers|E] permette al tuo insediamento di migliorare.#!"
building_type_settlement_01:0 "Insediamento"
building_type_settlement_01_desc:0 "Permette di sfruttare le terre selvagge, riducendo parzialmente gli effetti dei nemici circostanti."
building_settlement_01:0 "Villaggi Silenziosi"
building_settlement_01_desc:0 "Umili borgate e villaggi punteggiano il paesaggio, dimora di coloni temprati che sfidano gli elementi e stabiliscono un punto d’appoggio in questa terra selvaggia."
building_settlement_02:0 "Cittadine Solitarie"

building_settlement_02_desc:0 "Piccole cittadine hanno iniziato a crescere in tutta la regione, attirando sempre più gente man mano che i loro abitanti cominciano a conquistare le terre selvagge."
 building_settlement_03:0 "Colonia Brulicante"
 building_settlement_03_desc:0 "Insediamenti ben consolidati fremono di attività ed entusiasmo, mentre gli ultimi rimasugli delle Selvagge Terre vengono domati."
 building_stockades_01:0 "Palizzate"
 building_stockades_01_desc:0 "Semplici palizzate creano una barriera essenziale tra l’insediamento e le terre selvagge oltre, ma offrono scarsa protezione contro attacchi e razzie organizzati."
 building_type_stockades_01:0 "Palizzate"
 building_type_stockades_01_desc:0 "Semplici palizzate creano una barriera essenziale tra l’insediamento e le terre selvagge oltre, ma offrono scarsa protezione contro attacchi e razzie organizzati."
 building_trading_outposts_01:0 "Avamposti Commerciali"
 building_trading_outposts_01_desc:0 "Gli avamposti commerciali offrono a coloni e mercanti l’opportunità di incontrarsi e barattare beni prodotti e richiesti dalla [colony|E]."
 building_type_trading_outposts_01:0 "Avamposti Commerciali"
 building_type_trading_outposts_01_desc:0 "Gli avamposti commerciali offrono a coloni e mercanti l’opportunità di incontrarsi e barattare beni prodotti e richiesti dalla [colony|E]."
 building_local_militia_01:0 "Milizia Locale"
 building_local_militia_01_desc:0 "Frontieristi temprati: la milizia locale si addestra e custodisce qui le proprie armi. Non sempre numerosi, ma feroci, e con cuori saldi."
 building_type_local_militia_01:0 "Milizia Locale"
 building_type_local_militia_01_desc:0 "Frontieristi temprati: la milizia locale si addestra e custodisce qui le proprie armi. Non sempre numerosi, ma feroci, e con cuori saldi."
 building_construction_guilds_01:0 "Gilde di Costruzione"
 building_construction_guilds_01_desc:0 "Costruttori e artigiani esperti aprono bottega nella [colony|E], portando la loro perizia e contribuendo a sviluppare gli insediamenti dalle fondamenta."
 building_type_construction_guilds_01:0 "Gilde di Costruzione"
 building_type_construction_guilds_01_desc:0 "Costruttori e artigiani esperti aprono bottega nella [colony|E], portando la loro perizia e contribuendo a sviluppare gli insediamenti dalle fondamenta."
 building_type_agot_nightfort_01:0 "Forte della Notte"
 building_type_agot_nightfort_01_desc:0 "Sede originaria dei Guardiani della Notte, il Forte della Notte fu un tempo dimora dei membri più grandi e più infami dell’ordine. Qui respinsero innumerevoli Re-oltre-la-Barriera, e da qui regnò il Re della Notte."
 building_agot_nightfort_01:0 "Il Cancello Nero"
 building_agot_nightfort_01_desc:0 "Nel profondo del Forte della Notte si trova il Cancello Nero, un antico passaggio risalente a ben prima che si conservassero registri scritti."
 building_type_agot_port_of_oldtown_01:0 "VecchiaCitta"
 building_type_agot_port_of_oldtown_01_desc:0 "La più grande città di Westeros, e la più antica, VecchiaCitta è un faro sotto ogni aspetto. Dimora della Fede, della Cittadella e dell’Alta Torre, è un gioiello per qualunque regno."
 building_agot_port_of_oldtown_01:0 "Porto di Lymond"
 building_agot_port_of_oldtown_01_desc:0 "Se VecchiaCitta è sempre stata un porto d’importanza, moli e banchine furono rivoluzionati da Lymond Hightower, detto il Leone Marino, che portò la forza di VecchiaCitta sulle onde."
 building_type_agot_chequered_square_01:0 "VecchiaCitta"
 building_type_agot_chequered_square_01_desc:0 "La più grande città di Westeros, e la più antica, VecchiaCitta è un faro sotto ogni aspetto. Dimora della Fede, della Cittadella e dell’Alta Torre, è un gioiello per qualunque regno."
 building_agot_chequered_square_01:0 "Piazza a Scacchi"
 building_agot_chequered_square_01_desc:0 "VecchiaCitta conta molti mercati e botteghe, ma la Piazza a Scacchi è la più celebre. Qui si trovano merci provenienti dai Mari del Tramonto, dell’Estate, Stretto e persino di Giada, poiché VecchiaCitta attira mercanti da ogni acqua del mondo."
 building_type_agot_unicorn_glen_01:0 "Kaldusk"
 building_type_agot_unicorn_glen_01_desc:0 "Nelle montagne di Skagos, nelle terre di Casa Magnar, sorge Kaldusk, celebre per le sue mandrie di unicorni."
 building_agot_unicorn_glen_01:0 "La Grande Valle"
 building_agot_unicorn_glen_01_desc:0 "Tra le montagne di Skagos si apre una grande valle dove gli unicorni sono numerosi e vigorosi. Il lord che controlla questa terra ha accesso ai migliori di questi destrieri cornuti"
 building_type_agot_hellholt_01:0 "Hellholt"
 building_type_agot_hellholt_01_desc:0 "Sede ancestrale di Casa Uller, Hellholt è stata a lungo una potente vassalla — prima delle Terre Aride, poi dei Martell."
 building_agot_hellholt_01:0 "Resti di Meraxes"
 building_agot_hellholt_01_desc:0 "Sebbene gli Uller restituissero il teschio di Meraxes nel trattato di pace con il Trono di Spade, il resto del corpo del drago fu reclamato dalle sabbie e dagli scarabei. Eppure, quando le dune si spostano, le ossa nere talvolta riaffiorano, prima di essere inghiottite di nuovo."
 building_type_agot_ten_towers_01:0 "Dieci Torri"
 building_type_agot_ten_towers_01_desc:0 "La nuova sede di Casa Harlaw, Dieci Torri è uno dei castelli più formidabili delle Isole di Ferro."
 building_agot_ten_towers_01:0 "Dieci Torri"
 building_agot_ten_towers_01_desc:0 "Il castello più grandioso tanto dell’isola quanto di Casa Harlaw, Dieci Torri è celebre per le sue numerose torri, dalla Torre dei Libri alla Torre della Vedova. Negli ultimi anni è divenuta un baluardo di studio e conoscenza — purtroppo, una torcia solitaria nell’oscurità delle Isole di Ferro."
 building_type_agot_hammerhorn_01:0 "Hammerhorn"
 building_type_agot_hammerhorn_01_desc:0 "L’antica sede di Casa Goodbrother e la più grande fortezza di Grande Wyk."
 building_agot_hammerhorn_01:0 "La Rocca del Fratello"
 building_agot_hammerhorn_01_desc:0 "L’antica fortezza del fratello del Re Grigio, la Rocca del Fratello è il cuore di Hammerhorn e di Grande Wyk. Da qui, Casa Goodbrother si è diffusa nelle Isole di Ferro, divenendo una delle casate più grandi, se non la più grande, degli Uomini di Ferro."
 building_type_agot_lordsport_01:0 "Lordsport"
 building_type_agot_lordsport_01_desc:0 "La sede di Casa Botley e la più grande cittadina delle Isole di Ferro."
 building_agot_lordsport_01:0 "Lordsport"




 building_agot_lordsport_01_desc:0 "La più grande città delle Isole di Ferro, Lordsport è il principale porto di Pyke. Da qui, le lunghe navi degli Uomini di Ferro hanno da sempre trovato un sicuro approdo, e la città li arma anche di tutto ciò che occorre per le loro razzie nelle terre verdi."
building_type_agot_grey_garden_01:0 "Giardino Grigio"
building_type_agot_grey_garden_01_desc:0 "Sede di un ramo cadetto di Casa Harlaw, Giardino Grigio è da lungo tempo un baluardo di forza tanto per Casa Harlaw quanto per l'isola di Harlaw stessa."
building_agot_grey_garden_01:0 "Il Giardino Grigio"
building_agot_grey_garden_01_desc:0 "Giardino Grigio è famoso in tutte le Isole di Ferro per l'abilità nelle armi di chi lo chiama casa, una reputazione che continua ad attirare altri fra le sue mura."
building_type_agot_volmark_01:0 "Volmark"
building_type_agot_volmark_01_desc:0 "Il castello di Casa Volmark, Volmark è verosimilmente il secondo più grande castello dell'isola, dopo la sede di Casa Harlaw."
building_agot_volmark_01:0 "Il Porto del Leviatano"
building_agot_volmark_01_desc:0 "Casa Volmark ha edificato la propria eredità sulla caccia ai grandi leviatani che infestano i mari. È tanto stretta l'associazione con queste bestie che il loro sigillo ne reca uno. Il loro porto è noto come Porto del Leviatano, poiché non è raro assistere allo scarnimento dei leviatani sulle sue rive."
building_type_agot_ruins_hardhome_01_desc:0 "L'unico luogo che un tempo avrebbe potuto essere considerato una città oltre la Barriera è Brumacasa, sebbene giaccia in rovina da secoli."
building_agot_gorms_port_01:0 "Porto di Gorm"
building_agot_gorms_port_01_desc:0 "Gorm, uno dei molti capi che rivendicarono una parte di Brumacasa come proprio dominio, era celebre per i suoi contatti oltre il mare e per la costruzione di un porto nella città. Si racconta che abbia persino accolto un maestro della Cittadella."
building_agot_gorms_port_02:0 "Grande Porto del Vero Nord"
building_agot_gorms_port_02_desc:0 "Brumacasa è il cuore del Vero Nord. Da qui, il Popolo Libero commercia e accoglie stranieri giunti da oltre il mare."
building_agot_ruins_gorms_port_02:0 "Rovine del Porto"
building_agot_ruins_gorms_port_02_desc:0 "Un tempo unica città Oltre la Barriera, Brumacasa ora giace in rovina, insieme al suo porto."
building_agot_ruins_gorms_port_03:0 "Porto di Gorm Ricostruito"
building_agot_ruins_gorms_port_03_desc:0 "Il porto costruito da Gorm il Lupo è stato restaurato e ancora una volta serve Brumacasa e il suo capo."
building_agot_raymons_hall_01:0 "Sala di Raymon"
building_agot_raymons_hall_01_desc:0 "Uno dei capi che si contesero il controllo della città di Brumacasa fu Raymon, detto l'Ammaliatore. Era celebre per la sala che fece erigere, dove ospitava i suoi futuri rivali e li trasformava in amici."
building_agot_raymons_hall_02:0 "Grande Sala del Popolo Libero"
building_agot_raymons_hall_02_desc:0 "Questa sala si erge come faro per tutto il Popolo Libero, un luogo dove riunirsi e discutere con il proprio re questioni grandi e piccole."
building_agot_ruins_raymons_hall_02:0 "Sala in Rovina"
building_agot_ruins_raymons_hall_02_desc:0 "Un tempo unica città Oltre la Barriera, Brumacasa ora giace in rovina, insieme alla sua sala."
building_agot_ruins_raymons_hall_03:0 "Sala di Raymon Ricostruita"
building_agot_ruins_raymons_hall_03_desc:0 "La Sala di Raymon l'Ammaliatore è ricostruita e ancora una volta accoglie fra le sue pareti molti del Popolo Libero."
building_agot_halgars_keep_01:0 "Fortezza di Halgar"
building_agot_halgars_keep_01_desc:0 "Halgar Pugno-di-Pietra costruì e presidiò la più grande fortezza di Brumacasa. Sempre vigile contro gli attacchi dei rivali, Halgar la innalzò solida, sicura e priva di ogni comodità."
building_agot_halgars_keep_02:0 "Grande Fortezza di Pietra"
building_agot_halgars_keep_02_desc:0 "Brumacasa è ora sorvegliata da una terribile Grande Fortezza, costruita in pietra. È abbastanza robusta da respingere qualunque aspirante aggressore."
building_agot_ruins_halgars_keep_02:0 "Fortezza Spezzata"
building_agot_ruins_halgars_keep_02_desc:0 "Un tempo unica città Oltre la Barriera, Brumacasa ora giace in rovina, insieme alla sua fortezza."
building_agot_ruins_halgars_keep_03:0 "Fortezza di Halgar Ricostruita"
building_agot_ruins_halgars_keep_03_desc:0 "Ricostruita, la Fortezza di Halgar Pugno-di-Pietra torna a svettare su Brumacasa, donando alla città un cuore di pietra."
building_agot_drekis_tunnels_01:0 "Gallerie di Dreki"
building_agot_drekis_tunnels_01_desc:0 "Nel suo tentativo di controllare Brumacasa, Dreki il Congelato fece scavare vaste gallerie sotto la città. Gli permisero di muoversi di nascosto, spiare i rivali e accogliere coloro che ebbero la sventura di essere suoi ospiti."
building_agot_drekis_tunnels_02:0 "Grandi Gallerie di Brumacasa"
building_agot_drekis_tunnels_02_desc:0 "Le gallerie e i passaggi avviati da Dreki si sono espansi in ogni angolo di Brumacasa. Chi li conosce ottiene una capacità senza pari di colpire qualunque nemico."
building_agot_ruins_drekis_tunnels_02:0 "Gallerie Crollate"
building_agot_ruins_drekis_tunnels_02_desc:0 "Un tempo unica città Oltre la Barriera, Brumacasa ora giace in rovina, insieme alle sue gallerie crollate."
building_agot_ruins_drekis_tunnels_03:0 "Gallerie di Dreki Risanate"
building_agot_ruins_drekis_tunnels_03_desc:0 "Ripulite ancora una volta, le gallerie di Dreki il Congelato ora servono un nuovo padrone, instillando un senso di paranoia in chiunque si trovi entro Brumacasa."
building_godswood_03_desc:0 "Un bosco sacro di dimensioni moderate, con querce, olmi e betulle — e un albero del cuore al centro. Dimensioni e cura sono una chiara dichiarazione dello status e del prestigio del lord, pur mantenendo le antiche tradizioni."
building_godswood_05_desc:0 "Un grande bosco sacro con alberi sentinella, querce, olmi, betulle e giovani pini ferrei, e al centro un imponente albero del cuore. Dimensioni e cura sono una chiara dichiarazione dello status e del prestigio del lord, pur mantenendo le antiche tradizioni."
building_agot_oldtown_walls_01_desc:0 "Innalzate da Otho II, le imponenti mura di pietra furono costruite dopo che la città venne saccheggiata tre volte in un secolo: prima da Samwell Starfire Dayne, poi da Qhored il Crudele degli Uomini di Ferro, e infine da Gyles il Dolore Gardener."
building_type_agot_starpike_01_desc:0 "La prima, e più grande, delle tre fortezze di Casa Peake, Starpike sorge nelle Terre Basse di Dorne come testimonianza della longevità e della tenacia della casata."
building_agot_starpike_01:0 "Solar di Lorimar"

building_ruins_harrenhal_06_desc:0 "La più grande delle torri di Harrenhal, l’enorme Torre della Guglia del Re contiene la camera del lord e la Sala dei Mille Focolari. Ora che è stata ricostruita, la ricostruzione di Harrenhal è quasi giunta al termine."
building_type_agot_raventree_hall_01_desc:0 "Nel cuore di Sala dell'Albero dei Corvi si erge un grande albero-diga, morto da lungo tempo, che si dice sia stato avvelenato dai Bracken in epoche remote. È dimora di una grande congiura di corvi, che dona al castello il suo nome."
building_agot_ruin_high_heart_02_desc:0 "Quando gli Andali giunsero ad Alto Cuore, abbatterono tutti gli alberi demone, ponendo fine all’influenza degli Antichi Dei nelle Terre dei Fiumi."
building_agot_griffins_roost_01_desc:0 "Il Nido del Grifone sorge sul margine occidentale della Baia Spezzanavi. Circondato dall’acqua a sud, a est e a nord, è avvicinabile solo dal lato occidentale, protetto però da un corpo di guardia che conduce a una stretta cresta chiamata la Gola del Grifone, unica via d’accesso al castello."
building_agot_paintwood_01:0 "Torre della Regina Verde"
building_agot_paintwood_01_desc:0 "Quando il regno delle Terre della Tempesta era al suo punto più debole sotto Durwald I, la Regina Verde si levò per reclamare per sé il Bosco della Pioggia e Capo Ira. Ten­ne a bada i Durrandon per quasi un’intera generazione, ma quando qualcuno di valore sedette a Capo Tempesta, il giovane reame crollò sotto la furia dei Durrandon."
building_agot_bronzegate_01_desc:0 "Durante le invasioni andale, un’alleanza di sette signori della guerra, che si faceva chiamare la Santa Fratellanza degli Andali, puntò alle Terre della Tempesta. Fu alla Battaglia di Bronzegate che Monfryd V li sconfisse, abbattendo tutti e sette al prezzo della propria vita. Oggi sette teschi adornano le mura di Bronzegate in memoria della vittoria, sebbene Casa Buckler e le Terre della Tempesta si siano convertite."
building_agot_weeping_tower_02_desc:0 "Quando il corpo del Giovane Drago fu restituito dagli uomini di Dorne, la città lo custodì per tre giorni, durante i quali molti giunsero a piangere Re Daeron. Da ciò, la città e la torre del lord ricevettero anche nuovi nomi."
moat_cailin_fortification_rights_desc:0 "[GetTitleByKey('k_the_north').GetNameNoTier] has $game_concept_vassal_contract$: [GetSubjectContractType('fortification_rights').GetObligationName('fortification_rights_granted')]"
building_agot_ruins_hellgate_hall_01:0 "Rovine di Lucifero"
building_type_agot_sandstone_01_desc:0 "Sede ancestrale di Casa Qorgyle, Pietrasabbia ha resistito ai pericoli delle dune del deserto e alle minacce provenienti anche da oltre Dorne."
building_agot_sandstone_01:0 "Collina dello Scorpione"
building_agot_sandstone_01_desc:0 "Un’antica tomba risalente alla conquista andala di Dorne; da allora è stata infestata dagli scorpioni, guadagnandosi il suo nome locale."
building_agot_upcliffs_haven_01_desc:0 "Gli Andali la chiamavano una strega, ma per Casa Upcliff e per i Primi Uomini della Valle, Ursula Upcliff è la Sposa del Re Tritone, che protesse la sua isola non solo con spada e scudo, ma anche con le onde e i flutti del suo sposo."
building_type_agot_grey_palace_01_desc:0 "Il Palazzo Imperiale degli Imperatori Grigi iniziò a essere costruito durante il regno di Har Loi, ma fu completato dai suoi successori. È uno dei palazzi più marziali edificati nella storia dell’impero."
COA_DESIGNER_CATEGORY__agotheraldrymisc:0 "AGOT Araldica Varia"
COA_DESIGNER_CATEGORY__agotdefinedheraldrymisc:0 "AGOT Araldica Varia"
COA_DESIGNER_CATEGORY__agotheraldrycrownlands:0 "AGOT Araldica delle Terre della Corona"
COA_DESIGNER_CATEGORY__agotdefinedheraldrycrownlands:0 "AGOT Araldica delle Terre della Corona"
COA_DESIGNER_CATEGORY__agotheraldrydorne:0 "AGOT Araldica di Dorne"
COA_DESIGNER_CATEGORY__agotdefinedheraldrydorne:0 "AGOT Araldica di Dorne"
COA_DESIGNER_CATEGORY__agotheraldryironisles:0 "AGOT Araldica delle Isole di Ferro"
COA_DESIGNER_CATEGORY__agotdefinedheraldryironisles:0 "AGOT Araldica delle Isole di Ferro"
COA_DESIGNER_CATEGORY__agotheraldrynorth:0 "AGOT Araldica del Nord"
COA_DESIGNER_CATEGORY__agotdefinedheraldrynorth:0 "AGOT Araldica del Nord"
COA_DESIGNER_CATEGORY__agotheraldryreach:0 "AGOT Araldica de L'Altopiano"
COA_DESIGNER_CATEGORY__agotdefinedheraldryreach:0 "AGOT Araldica de L'Altopiano"
COA_DESIGNER_CATEGORY__agotheraldryriverlands:0 "AGOT Araldica delle Terre dei Fiumi"
COA_DESIGNER_CATEGORY__agotdefinedheraldryriverlands:0 "AGOT Araldica delle Terre dei Fiumi"
COA_DESIGNER_CATEGORY__agotheraldrystormlands:0 "AGOT Araldica delle Terre della Tempesta"
COA_DESIGNER_CATEGORY__agotdefinedheraldrystormlands:0 "AGOT Araldica delle Terre della Tempesta"
COA_DESIGNER_CATEGORY__agotheraldryvale:0 "AGOT Araldica della Valle"
COA_DESIGNER_CATEGORY__agotdefinedheraldryvale:0 "AGOT Araldica della Valle"
COA_DESIGNER_CATEGORY__agotheraldrywesterlands:0 "AGOT Araldica delle Terre dell’Ovest"
COA_DESIGNER_CATEGORY__agotdefinedheraldrywesterlands:0 "AGOT Araldica delle Terre dell’Ovest"
COA_DESIGNER_CATEGORY__agotheraldryessos:0 "AGOT Araldica di Essos"
COA_DESIGNER_CATEGORY__agotheraldrypirates:0 "AGOT Araldica dei Pirati"
death_vanished_into_rainwood:0 "svanì nel Bosco della Pioggia"
death_fell_into_shipbreaker_bay:0 "cadde sugli scogli frastagliati della Baia Spezzanavi"
death_drinking_celebrating:0 "bevve accidentalmente fino a morire [CHARACTER.GetHerselfHimself|l] durante i festeggiamenti"
justman_revival_decision:0 "Rianima Casa Justman"
justman_revival_desc:0 "Molto tempo fa, Benedict Rivers, figlio di sangue Blackwood e Bracken, unì il Tridente sotto il suo dominio e fondò Casa Justman. Governarono le Terre dei Fiumi per quasi trecento anni, prima che la loro stirpe fosse crudelmente spezzata dagli Uomini di Ferro. Anche io sono figlio di entrambe queste linee — forse è tempo di riportare in vita questa un tempo grande [dynasty|E], con me stesso come suo capo."
justman_revival_decision_confirm:0 "Un Nome Meritato"

agot_events_generic.0030.t: "Tu, miserabile [ROOT.Char.Custom('GirlBoy')],"
agot_events_generic.0030.desc_vassal: "Ti ho trascinat[Select_CString(ROOT.Char.IsFemale,'a','o')] fuori dal fango, e posso ributtartici in un battito di ciglia! Non hai davvero #EMP mai#! pensato che #EMP King's Landing#!, l'ultimo pilastro dell'erudizione su questa terra spregevole, potesse essere tua! Neppure il tuo dito più piccolo è degno di calcare i suoi mattoni scintillanti! Restituiscila, o il Blackwater diverrà la tua fossa d'annegamento — e sarò io stess[Select_CString(ROOT.Char.IsFemale,'a','o')] a scaraventarti nelle sue acque, se necessario."
agot_events_generic.0030.a: "Mi stavo solo prendendo cura di essa per te!"
agot_events_generic.0030.b: "Spero che il tuo sedere petulante si tagli sul Trono di Spade."
dragon_rider_is_in_sieging_army_tooltip: "Sta cavalcando un [dragon|E] in un esercito d'assedio"
